Well,DEPTH,GR,DT,NPHI,RHOB
IJS-57,764.7001,33.817642,393.4319,0.247315,1.441437
IJS-57,764.8,30.809933,426.0018,0.248928,1.439037
IJS-57,764.9,28.176727,460.8465,0.255991,1.437865
IJS-57,765.0,26.042976,494.4526,0.268219,1.437177
IJS-57,765.1,24.575516,522.8159,0.280987,1.436553
IJS-57,765.2,23.708179,544.3036,0.286029,1.435818
IJS-57,765.3,23.279636,558.3789,0.278167,1.434904
IJS-57,765.4,23.108444,565.5635,0.260208,1.433786
IJS-57,765.5,22.979309,567.2001,0.239879,1.432985
IJS-57,765.6,22.814564,565.1747,0.225736,1.433498
IJS-57,765.7,22.835835,561.2442,0.222779,1.4363
IJS-57,765.8,23.400444,556.7075,0.232263,1.442178
IJS-57,765.9,24.677143,552.716,0.25138,1.451528
IJS-57,766.0,26.54493,549.9692,0.274134,1.465019
IJS-57,766.1,28.604828,548.6863,0.292041,1.484272
IJS-57,766.2,30.504448,548.6788,0.298194,1.512821
IJS-57,766.3,32.048195,549.7329,0.291955,1.553572
IJS-57,766.4,33.13253,551.4399,0.279391,1.605286
IJS-57,766.5,33.692726,552.2083,0.266461,1.662952
IJS-57,766.6,33.663277,548.9714,0.255441,1.715631
IJS-57,766.7,33.162079,538.6999,0.246408,1.751562
IJS-57,766.8,32.642975,519.8659,0.239345,1.768852
IJS-57,766.9,32.831314,494.0115,0.235016,1.774414
IJS-57,767.0,34.373985,465.1694,0.234047,1.778198
IJS-57,767.1,37.43586,438.9918,0.236605,1.787455
