DEPTH,POROSITY,HOR_PERMEABILITY,VERT_PERMEABILITY,GRAIN_DENSITY,FORMATION_FACTOR,NITG_NR,UWI,SHORT_NM,ANALYSIS_NR,CORE_NR,LAB,LAB_NR,LAB_REPORT_DATE,REMARK,TOP_STRAT,BOTTOM_STRAT,STRAT_UNIT_CD,STRAT_UNIT_NM
1038.7500,31.5000,720.0000,,,,B37H0712,1461,IJS-57,K-0113A,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1039.2000,27.5000,420.0000,,2.6500,,B37H0712,1461,IJS-57,K-0114,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1039.5000,27.2000,270.0000,,2.6400,,B37H0712,1461,IJS-57,K-0115,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1039.9000,26.1000,230.0000,,2.6400,,B37H0712,1461,IJS-57,K-0116,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1040.2000,25.9000,260.0000,,2.6400,,B37H0712,1461,IJS-57,K-0117,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1040.5000,26.4000,190.0000,,2.6400,,B37H0712,1461,IJS-57,K-0118,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1041.1000,22.0000,69.0000,,2.6500,,B37H0712,1461,IJS-57,K-0119,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1042.1000,22.7000,62.0000,,2.6600,,B37H0712,1461,IJS-57,K-0120,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1042.4000,20.2000,42.0000,,2.6500,,B37H0712,1461,IJS-57,K-0121,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1042.8000,21.6000,8.0000,,2.6600,,B37H0712,1461,IJS-57,K-0122,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1043.2000,23.6000,74.0000,,2.6400,,B37H0712,1461,IJS-57,K-0123,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1043.5000,22.7000,93.0000,,2.6500,,B37H0712,1461,IJS-57,K-0124,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1043.8000,17.3000,1.2000,,2.6600,,B37H0712,1461,IJS-57,K-0125,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
